City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
278,Kodinsk,RU,58.6881,99.1844,9.66,94,100,4.59,light snow
279,Kabompo,ZM,-13.5927,24.2008,72.91,78,70,2.64,broken clouds
280,Belaya Gora,RU,68.5333,146.4167,-30.46,83,52,1.9,broken clouds
281,Taraza,CO,7.5836,-75.4007,91.51,51,100,4.23,overcast clouds
282,Ostrovnoy,RU,68.0531,39.5131,13.6,94,100,12.39,light snow
283,Lokomotivnyy,RU,53.0118,60.5684,16.52,95,97,24.49,overcast clouds
284,Pacific Grove,US,36.6177,-121.9166,48.99,81,1,8.52,clear sky
285,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,88,40,17.27,scattered clouds
286,Weligama,LK,5.9667,80.4167,76.89,86,93,6.06,overcast clouds
287,Slave Lake,CA,55.2834,-114.769,-25.6,75,40,5.75,scattered clouds
288,Airai,TL,-8.9266,125.4092,60.89,97,100,2.13,overcast clouds
289,Moerai,PF,-22.4333,-151.3333,80.6,73,0,11.45,light rain
290,Tefe,BR,-3.3542,-64.7114,84.2,84,75,6.91,broken clouds
291,San Patricio,US,28.017,-97.5169,64.4,88,90,6.91,overcast clouds
292,Makokou,GA,0.5738,12.8642,79.39,72,100,2.75,light rain
293,Avera,US,33.194,-82.5271,50.0,46,90,5.75,overcast clouds
294,Nishihara,JP,26.1842,127.7558,68.0,88,40,1.14,scattered clouds
295,Santa Maria,BR,-29.6842,-53.8069,75.2,57,20,4.61,few clouds
296,Colonelganj,IN,27.1333,81.7,55.87,53,0,8.52,clear sky
297,Fez,MA,34.0372,-4.9998,50.0,87,75,11.5,broken clouds
298,General Roca,AR,-39.0333,-67.5833,77.0,47,0,9.22,clear sky
299,Broken Hill,AU,-31.95,141.4333,66.2,63,50,10.36,scattered clouds
300,Ambon,ID,-3.6954,128.1814,78.8,89,40,5.75,scattered clouds
301,Nouadhibou,MR,20.931,-17.0347,71.6,49,0,19.57,clear sky
302,Nome,US,64.5011,-165.4064,15.8,86,90,6.91,overcast clouds
303,Castro,BR,-24.7911,-50.0119,76.26,50,0,7.45,clear sky
304,Florence,IT,43.7667,11.25,60.01,72,0,1.14,clear sky
305,Epernay,FR,49.05,3.95,46.4,93,90,5.75,overcast clouds
306,Geraldton,AU,-28.7667,114.6,69.8,94,90,20.71,overcast clouds
307,Meadow Lake,US,34.8014,-106.5436,45.0,38,1,10.36,clear sky
308,Krasnoselkup,RU,65.7,82.4667,1.15,93,100,13.65,light snow
309,Rafsanjan,IR,30.4067,55.9939,58.03,30,29,3.36,scattered clouds
310,Pemberton,CA,50.3164,-122.8027,32.0,100,90,9.22,light snow
311,Beyneu,KZ,45.3167,55.2,29.5,86,0,13.96,clear sky
312,Khonsa,IN,27.0167,95.5667,52.12,87,33,4.25,scattered clouds
313,Caborca,MX,30.5838,-111.101,59.83,31,0,1.9,clear sky
314,Jinxiang,CN,27.4327,120.6062,56.64,84,93,4.61,overcast clouds
315,Bilma,NE,18.6853,12.9164,73.09,19,31,7.36,scattered clouds
316,Caledonia,US,42.8078,-87.9242,8.01,66,1,9.22,clear sky
317,Alofi,NU,-19.0595,-169.9187,77.0,88,100,6.91,overcast clouds
318,Hervey Bay,AU,-25.2986,152.8535,75.0,80,100,1.01,overcast clouds
319,Scottsbluff,US,41.8666,-103.6672,14.0,73,90,11.5,light snow
320,Katsuura,JP,35.1333,140.3,46.99,87,20,11.5,few clouds
321,Popondetta,PG,-8.7537,148.2534,74.64,92,100,2.53,overcast clouds
322,Mount Isa,AU,-20.7333,139.5,73.4,100,40,6.91,moderate rain
323,Buala,SB,-8.145,159.5921,80.4,81,98,11.74,light rain
324,Taltal,CL,-25.4,-70.4833,69.13,61,18,6.17,few clouds
325,Kirksville,US,40.1948,-92.5833,19.4,68,90,8.05,light snow
326,Along,IN,28.1667,94.7667,53.76,52,5,1.95,clear sky
327,Mount Pleasant,US,32.7941,-79.8626,52.0,71,90,6.91,overcast clouds
328,Imeni Poliny Osipenko,RU,52.4201,136.4853,-5.48,91,100,6.24,overcast clouds
329,Mednogorsk,RU,51.4128,57.595,6.03,94,100,23.38,overcast clouds
330,Margate,GB,51.3813,1.3862,45.0,91,99,3.0,light rain
331,Hamilton,US,39.1834,-84.5333,28.99,46,1,4.16,clear sky
332,Tuatapere,NZ,-46.1333,167.6833,51.58,86,1,3.74,clear sky
333,Moose Factory,CA,51.2585,-80.6094,3.2,66,90,18.41,light snow
334,Sayyan,YE,15.1718,44.3244,50.77,70,0,3.24,clear sky
335,Zheleznodorozhnyy,RU,55.7503,38.0042,3.99,66,40,17.9,scattered clouds
336,Solnechnyy,RU,50.7214,136.6319,-6.27,89,100,2.48,overcast clouds
337,Derzhavinsk,KZ,51.1,66.3167,34.38,97,100,22.01,light snow
338,The Valley,AI,18.217,-63.0578,78.8,88,40,12.66,scattered clouds
339,Menongue,AO,-14.6585,17.691,74.28,75,100,3.2,overcast clouds
340,Lebu,CL,-37.6167,-73.65,62.8,77,87,6.15,overcast clouds
341,Turukhansk,RU,65.8167,87.9833,-5.75,91,100,17.05,light snow
342,Puerto Madryn,AR,-42.7692,-65.0385,66.43,53,46,17.43,scattered clouds
343,Nanortalik,GL,60.1432,-45.2371,24.37,79,0,4.81,clear sky
344,Lydenburg,ZA,-25.0978,30.4597,61.0,97,100,1.99,light rain
345,Brae,GB,60.3964,-1.353,35.6,51,90,23.02,overcast clouds
346,Waru,ID,-7.0468,112.4048,78.8,89,40,11.5,scattered clouds
347,Gat,IL,31.61,34.7642,63.0,100,17,3.36,few clouds
348,Nuuk,GL,64.1835,-51.7216,24.01,41,0,25.99,clear sky
349,Griffith,US,41.5284,-87.4237,10.4,61,1,6.91,clear sky
