City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
338,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
339,Menongue,AO,74.28,overcast clouds,-14.6585,17.691,Ritz Lauca
346,Waru,ID,78.8,scattered clouds,-7.0468,112.4048,Kali dondoman
351,Kapoeta,SS,85.44,scattered clouds,4.7717,33.5903,Eastgate Hotel
353,Lambarene,GA,79.99,moderate rain,-0.7001,10.2406,Le Refuge
357,Rocha,UY,84.7,clear sky,-34.4833,-54.3333,Beleza Pura B&B
358,Bonthe,SL,83.68,broken clouds,7.5264,-12.505,Bonthe Holiday Village
360,Porto Belo,BR,86.0,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
361,Bowen,AU,75.2,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
368,Richards Bay,ZA,76.53,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
370,La Vega,DO,80.6,scattered clouds,19.2221,-70.5296,Hotel Rey
371,Eyl,SO,75.87,clear sky,7.9803,49.8164,Amiin Hotel
375,Kupang,ID,79.43,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
382,Nelson Bay,AU,70.0,light rain,-32.7167,152.15,Mantra Nelson Bay
384,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
385,Benjamin Constant,BR,86.0,clear sky,-4.3831,-70.0311,CASA AVALIADA
386,Lajeado,BR,79.0,scattered clouds,-29.4669,-51.9614,Imperatriz Hotel
391,Meulaboh,ID,79.48,broken clouds,4.1363,96.1285,Kost Pria
399,Sechura,PE,82.04,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
401,Copiapo,CL,73.4,clear sky,-27.3667,-70.3333,Antay Casino Hotel
407,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
412,Gold Coast,AU,73.99,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
414,Namatanai,PG,79.05,broken clouds,-3.6667,152.4333,Namatanai Hotel
416,Viedma,AR,79.0,clear sky,-40.8135,-62.9967,Hotel Cristal
419,San Rafael,AR,88.77,clear sky,-34.6177,-68.3301,Hotel San Rafael
421,Fayaoue,NC,79.39,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
426,Poum,NC,79.84,few clouds,-20.2333,164.0167,Gîte kajeon
431,Norton,ZW,73.0,overcast clouds,-17.8833,30.7,Chingwara Mansion
434,Isangel,VU,77.56,clear sky,-19.55,169.2667,Volcano Sea View Tree House
440,Luganville,VU,77.38,few clouds,-15.5333,167.1667,The Espiritu Hotel
441,Manokwari,ID,78.78,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
444,Waddan,LY,71.11,clear sky,29.1614,16.139,محل الشريف محمد العايب
447,Hambantota,LK,73.4,overcast clouds,6.1241,81.1185,Bungalow 63
451,Ilhabela,BR,76.6,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
453,San Luis,AR,87.44,clear sky,-33.295,-66.3356,Huarpes Hotel
474,Bongouanou,CI,89.46,broken clouds,6.6486,-4.1992,Résidence KABRAN EHIA ELISABETH
481,Pak Phanang,TH,77.4,broken clouds,8.3511,100.20200000000001,Green Park Inn Hotel
487,Bosaso,SO,74.8,clear sky,11.2842,49.1816,Red Sea Hotel
495,Alyangula,AU,78.8,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
497,Saint Pete Beach,US,71.01,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
498,Diamantino,BR,87.42,scattered clouds,-14.4086,-56.4461,Hotel Delta
503,Antalaha,MG,78.4,broken clouds,-14.9003,50.2788,Hotel Vitasoa
504,Uruguaiana,BR,80.6,clear sky,-29.7547,-57.0883,Fares Turis Hotel
506,Saldanha,ZA,75.2,few clouds,-33.0117,17.9442,Blue Bay Lodge
508,Xai-Xai,MZ,77.4,overcast clouds,-25.0519,33.6442,Complexo da Familia
509,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
510,Chilca,PE,77.0,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
514,Sola,VU,81.7,clear sky,-13.8833,167.55,Leumerus Bungalows
515,Careiro Da Varzea,BR,80.6,moderate rain,-3.2003,-59.8119,POUSADA DA ALDENORA
516,Moyale,KE,79.52,clear sky,3.5167,39.0584,La Tahzan Guest House
522,Areia Branca,BR,87.91,few clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
524,Vanimo,PG,77.07,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
525,Venice,US,77.0,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
526,Teahupoo,PF,77.0,moderate rain,-17.8333,-149.2667,Vanira Lodge
527,Huarmey,PE,75.9,overcast clouds,-10.0681,-78.1522,Hotel Miramar
530,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
531,Sompeta,IN,70.48,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
534,Anse-Bertrand,GP,82.4,broken clouds,16.4721,-61.5078,Le Domharry
537,Pandan,PH,78.62,broken clouds,14.0453,124.1694,Bonifacio Lodge
538,Benguela,AO,78.78,clear sky,-12.5763,13.4055,Hotel Praia Morena
542,Mayumba,GA,80.78,broken clouds,-3.432,10.6554,LIKWALE LODGE
543,Karratha,AU,78.58,few clouds,-20.7377,116.8463,ibis Styles Karratha
546,Banyo,CM,82.44,clear sky,6.75,11.8167,Motel JOMBA
551,Alice Springs,AU,77.0,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
557,Zirandaro,MX,89.89,few clouds,18.45,-100.9833,Hotel Pineda
561,Port Macquarie,AU,70.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
565,Pauini,BR,89.62,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
567,Vaitape,PF,81.48,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
571,Tucuman,AR,84.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
580,Rosario,AR,90.0,clear sky,-32.9468,-60.6393,Holiday Inn Rosario
581,Quatre Cocos,MU,80.01,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
582,Cairns,AU,78.8,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
583,Rantauprapat,ID,74.43,broken clouds,2.1,99.8333,Permata Land Hotel & Resort
585,Sulangan,PH,80.37,few clouds,11.1373,123.7228,Maia's Beach Resort
589,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
591,Finschhafen,PG,81.32,light rain,-6.6024,147.8681,Cossam Guest House
592,Champerico,GT,86.0,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
594,Kruisfontein,ZA,73.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
595,Bandarbeyla,SO,76.93,few clouds,9.4942,50.8122,JABIR HOTEL
597,Ambanja,MG,77.0,light rain,-13.6833,48.45,Hotel Salama and Fast Food
600,Lufilufi,WS,80.01,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
603,Nouakchott,MR,77.0,dust,18.0858,-15.9785,HOTEL IMAN فندق إيمان
604,Grand Gaube,MU,80.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
607,Emerald,AU,84.2,overcast clouds,-23.5333,148.1667,The Irish Village
611,Odweyne,SO,71.19,few clouds,9.4092,45.06399999999999,Eng Hiirey House
619,Vung Tau,VN,77.29,scattered clouds,10.345999999999998,107.0843,Seaside Resort
620,Lumphat,KH,73.04,overcast clouds,13.4878,106.9816,Lumphat Homestay
623,Sinnamary,GF,79.99,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
625,Samarai,PG,82.33,overcast clouds,-10.6167,150.6667,Nuli Sapi
626,Marapanim,BR,87.71,scattered clouds,-0.7175,-47.6997,Ecomangue Pousada
627,Oranjestad,AW,84.2,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
633,La Libertad,EC,86.0,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
634,Conchal,BR,86.0,broken clouds,-22.3303,-47.1725,Hotel Lago - Conchal
636,Kloulklubed,PW,78.8,light rain,7.0419,134.2556,Storyboard Beach Resort
639,Mazatlan,MX,70.0,fog,23.2167,-106.4167,Gaviana Resort
640,Tautira,PF,77.0,moderate rain,-17.7333,-149.15,Pension Oaoa
644,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
648,Yenangyaung,MM,70.43,scattered clouds,20.4667,94.8833,Hotel Country
655,Davila,PH,75.9,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
656,Paidha,UG,71.33,scattered clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
658,Trairi,BR,88.05,scattered clouds,-3.2778,-39.2689,janelas do mar
662,Cacoal,BR,78.01,light rain,-11.4386,-61.4472,Hotel BR 364
664,Libato,PH,75.99,broken clouds,13.8151,121.3346,Balai Ising Garden Resort
665,Moree,AU,71.6,broken clouds,-29.4667,149.85,Molika Springs Motel
669,Caravelas,BR,83.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
677,Florianopolis,BR,84.0,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
680,Mana,GF,80.58,broken clouds,5.6592,-53.7767,LE SAMANA
